qid,query,JSR,ASR,top_ids,blocker_ids
test52,who sang in the movie i walk the line,0,0,doc1182696|doc565405|doc222348|doc1157349|doc866759,blocker_90354ff7ef
test53,where did aeneas go when he left carthage,0,0,doc230413|doc363848|doc237821|doc770800|doc1721609,blocker_63460e1dd3
test54,when does the new season of lost in space come out,0,0,doc1252834|doc1383499|doc1229689|doc390336|doc1105221,blocker_2e6ed2e12f
test55,who are involved in selling product of mutual fund and insurance,0,0,doc1018938|doc1506015|doc428685|doc1340162|doc2513872,blocker_8f5ebc6587
test56,when was the last time the military drafted,0,0,doc1669047|doc136568|doc1474041|doc1975597|doc192961,blocker_0330d0c085
test57,where was the capital of the habsburg empire located,0,0,doc144469|doc1808634|doc1350272|doc230413|doc387900,blocker_b7fd8cf707
test58,who plays general hux in the last jedi,0,0,doc2302087|doc913180|doc2070838|doc1298513|doc303382,blocker_0498690d8e
test59,what happened to the brother in the accountant,0,0,doc2302087|doc1506015|doc657817|doc1339772|doc2274638,blocker_a77f3741f1
test60,when were the winnie the pooh books written,0,0,doc669310|doc2147727|doc269304|doc1581846|doc1407598,blocker_68d39ac864
test61,where does the electron transport chain pumps protons,0,0,doc2142645|doc2222350|doc2349439|doc1011402|doc140621,blocker_062d430a42
test62,who wrote the theme song for mission impossible,0,0,doc2185686|doc838345|doc565405|doc222348|doc2498117,blocker_6e5f5704a5
test63,what's the point of having a belly button,0,0,doc2388149|doc1544064|doc2486392|doc2039332|doc2409512,blocker_2bbf5bd985
test64,where is the slide placed on the microscope,0,0,doc810761|doc1486493|doc2218106|doc1829334|doc1984159,blocker_106ade473e
test65,when was the seat moved to the capitol,0,0,doc63279|doc625772|doc278648|doc2368197|doc1036804,blocker_65bd1f0281
test66,when is chinese new year and what year is it,0,0,doc1570005|doc669310|doc978365|doc702735|doc830978,blocker_83cea44edb
test67,what's on each level of the eiffel tower,0,0,doc1733953|doc2430473|doc524363|doc480494|doc469966,blocker_5ae0967975
test68,who starred in the remake of true grit,0,0,doc1584514|doc2147727|doc657817|doc2302087|doc954669,blocker_1b3a04f287
test69,how many students attend university of texas at austin,0,0,doc1083835|doc1447845|doc147588|doc758993|doc1527306,blocker_f6e5ddfea3
test70,when does isle of dogs come out in us,0,0,doc2201929|doc223192|doc1509781|doc1970947|doc173110,blocker_b8636c2c01
test71,a justice of the supreme court may write a dissenting opinion to,0,0,doc1958974|doc1863283|doc2329112|doc2544719|doc2559194,blocker_31c38f9385
test72,when does the new gotham season come out,0,0,doc849834|doc276136|doc390336|doc33565|doc92029,blocker_bd0cbcff01
test73,a description of the history and meaning of the 1st amendment,0,0,doc2643714|doc1120228|doc50594|doc31882|doc662650,blocker_5f35c41494
test74,who named all the animals in the world,0,0,doc1712829|doc1491594|doc424885|doc2125407|doc543341,blocker_f2ab54f3f8
test75,how long do nhl players stay on waivers,0,0,doc553468|doc868424|doc770800|doc2274638|doc471425,blocker_fcf67bde6a
test76,what year did the price is right first air,0,0,doc123135|doc2391033|doc901422|doc1032517|doc2485080,blocker_34607c6431
test77,who stepped out of the dithyrambic chorus to become the first actor,0,0,doc389001|doc2625339|doc2498117|doc2054619|doc63349,blocker_5831dbf218
test78,when did the not in this lifetime tour start,0,0,doc2054619|doc534968|doc1895555|doc1637720|doc2436593,blocker_b3f52d43f7
test79,who sings jungle book i wanna be like you,0,0,doc2147727|doc1182696|doc866759|doc222348|doc1116351,blocker_60f0a417f7
test80,which best describes timbuktu under the mali empire,0,0,doc214703|doc1072331|doc48789|doc614373|doc1416075,blocker_76367ab75e
test81,who sings two pints of lager and a packet of crisps,0,0,doc222348|doc2312421|doc1575818|doc1157349|doc27853,blocker_83653a9681
test82,when did the apple iphone se come out,0,0,doc1653445|doc1846261|doc1742433|doc2098655|doc1198897,blocker_38464f92a9
test83,where do they put the tomb vampires in order to burn them during founders day,0,0,doc82619|doc686674|doc2081961|doc1459819|doc623285,blocker_4e805bb8b5
test84,which government had more power under the articles of confederation,0,0,doc2692|doc1312849|doc507638|doc2101693|doc1338035,blocker_b7d03589a6
test85,when was the debating club established in almora,0,0,doc471425|doc2445948|doc698317|doc662650|doc1985070,blocker_36e5aae0a5
test86,how many super bowl games has the patriots played in,0,0,doc323378|doc362205|doc721454|doc2455664|doc872285,blocker_f6a7cdfba1
test87,when was the first underwater cable laid beneath the english channel,0,0,doc2391033|doc901422|doc1179039|doc1887148|doc813304,blocker_043e3b1636
test88,where is the setting for beauty and the beast,0,0,doc1291196|doc1775041|doc41739|doc2436593|doc2642350,blocker_1fa24a836f
test89,where is the food stored in a yam plant,0,0,doc214703|doc1111557|doc495063|doc242965|doc302350,blocker_3a517f0898
test90,where does the donkey talk in the bible,0,0,doc1021514|doc2125407|doc484769|doc232246|doc2203115,blocker_84854212b2
test91,who sang the most number of songs in the world,0,0,doc222348|doc2004309|doc23020|doc1539793|doc1390161,blocker_4d840a391d
test92,when is the haunted mansion nightmare before christmas,0,0,doc276877|doc41739|doc2436593|doc534968|doc2409512,blocker_c057d5398d
test93,where did the ashes from ash wednesday originate,0,0,doc2100278|doc82619|doc698317|doc48789|doc2021743,blocker_0d42cbe2d2
test94,who sings it's my party and i cry if i want to,0,0,doc219226|doc1287981|doc1182696|doc866759|doc704364,blocker_c7daca74b0
test95,what are some elements that are similar to silver,0,0,doc308750|doc1506015|doc1299529|doc864155|doc2302087,blocker_4df20e7d19
test96,when was the chain first used for f1,0,0,doc1779852|doc2485080|doc901422|doc1011402|doc2002119,blocker_1cd4859f30
test97,when was you'll never walk alone first released,0,0,doc704364|doc222348|doc1390161|doc534968|doc1155277,blocker_5e65863fb7
test98,what year is the deer hunter set in,0,0,doc1509781|doc1506015|doc1816455|doc489210|doc2606039,blocker_84a927738d
test99,who controlled the house and the senate in 2012,0,0,doc1970949|doc190224|doc278648|doc507638|doc294085,blocker_75aafa0740
